scenario_id,run_id,timestamp_local,recommended_ac_units_on,recommended_ac_setpoint_c,recommended_fan_units_on,grid_energy_kwh,solar_energy_used_kwh,battery_charge_kwh,battery_discharge_kwh,battery_soc_kwh,cooling_energy_kwh,estimated_indoor_temp_c,comfort_status,interval_cost_pkr,interval_emissions_kgco2e,reason_code,explanation,constraint_violation_count,constraint_violation_details
PUB-A,coolshift-v1,2026-05-01T05:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.65,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T05:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.82,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T06:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.06,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T06:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.14,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T06:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.31,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T06:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.61,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T07:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.69,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T07:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.83,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T07:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.07,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T07:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.33,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T08:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.52,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T08:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.72,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T08:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.07,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T08:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.48,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T09:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.33,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T09:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.23,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T09:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.31,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T09:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.53,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T10:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.81,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T10:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,27.99,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T10:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.08,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T10:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.33,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T11:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.63,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T11:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.84,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T11:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.95,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T11:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.22,WARM,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T12:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.29,WARM,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T12:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.43,WARM,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T12:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.51,WARM,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T12:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.68,WARM,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T13:00:00,0,,2,0.0,0.0,0.0,0.0,0.0,0.0375,29.84,INFEASIBLE,0.0,0.0,GRID_OUTAGE,Grid is unavailable; plan relies on solar/battery and reports any infeasible load.,1,Unserved load during outage
PUB-A,coolshift-v1,2026-05-01T13:15:00,0,,2,0.0,0.0,0.0,0.0,0.0,0.0375,29.99,INFEASIBLE,0.0,0.0,GRID_OUTAGE,Grid is unavailable; plan relies on solar/battery and reports any infeasible load.,1,Unserved load during outage
PUB-A,coolshift-v1,2026-05-01T13:30:00,0,,2,0.0,0.0,0.0,0.0,0.0,0.0375,30.07,INFEASIBLE,0.0,0.0,GRID_OUTAGE,Grid is unavailable; plan relies on solar/battery and reports any infeasible load.,1,Unserved load during outage
PUB-A,coolshift-v1,2026-05-01T13:45:00,0,,2,0.0,0.0,0.0,0.0,0.0,0.0375,30.13,INFEASIBLE,0.0,0.0,GRID_OUTAGE,Grid is unavailable; plan relies on solar/battery and reports any infeasible load.,1,Unserved load during outage
PUB-A,coolshift-v1,2026-05-01T14:00:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,29.58,WARM,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T14:15:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,29.15,WARM,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T14:30:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.86,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T14:45:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.68,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T15:00:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.58,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T15:15:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.47,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T15:30:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.25,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T15:45:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,28.17,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T16:00:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,27.94,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T16:15:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,27.74,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T16:30:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,27.53,COMFORT_OK,19.425,0.21275,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T16:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.19,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T17:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.08,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T17:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.62,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T17:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.72,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T17:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.66,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T18:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.52,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T18:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.56,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T18:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.51,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T18:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.31,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T19:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,29.05,WARM,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T19:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.87,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T19:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.6,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T19:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,28.5,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T20:00:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,27.44,COMFORT_OK,26.825,0.23588,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T20:15:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,26.71,COMFORT_OK,26.825,0.23588,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T20:30:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,26.1,COMFORT_OK,26.825,0.23588,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T20:45:00,1,27.0,2,0.4625,0.0,0.0,0.0,0.0,0.375,25.66,COMFORT_OK,26.825,0.23588,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T21:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.1,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T21:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.34,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T21:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.29,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T21:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.35,COMFORT_OK,7.25,0.06375,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T22:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.15,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T22:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.06,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T22:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.84,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T22:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.67,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T23:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.34,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T23:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.09,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T23:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.81,COMFORT_OK,5.25,0.0575,COMFORT_REQUIRED,Occupied hot interval; fans and baseline cooling protect comfort.,0,
PUB-A,coolshift-v1,2026-05-01T23:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.59,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T00:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.65,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T00:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.65,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T00:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.71,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T00:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.68,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T01:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.54,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T01:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.59,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T01:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.44,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T01:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.47,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T02:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.44,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T02:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.42,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T02:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.34,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T02:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.35,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T03:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.33,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T03:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.38,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T03:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.42,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T03:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.44,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-02T04:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.45,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
